12_10_50.ulg 相对 07_37_59(1).ulg 的不同参数
==================================================

基准日志A: /home/btfw/1/12_10_50.ulg
对比日志B: /home/btfw/1/07_37_59(1).ulg

12_10_50 初始参数数量: 1216
07_37_59(1) 初始参数数量: 1185
12_10_50中需要列出的不同参数数量: 167
  - 两个日志都有但值不同: 133
  - 仅12_10_50存在: 34
  - 仅07_37_59(1)存在，12_10_50无对应值，未列入主表: 3
12_10_50飞行中参数改动记录: 0
07_37_59(1)飞行中参数改动记录: 0

参数名              | 12_10_50.ulg中的值   | 07_37_59(1).ulg中的值 | 差异类型       
PWM_MAIN_FUNC1   | 101               | 103                | 值不同        
PWM_MAIN_FUNC2   | 102               | 104                | 值不同        
PWM_MAIN_FUNC3   | 103               | 102                | 值不同        
PWM_MAIN_FUNC4   | 104               | 101                | 值不同        
RC1_MAX          | 1933              | 2000               | 值不同        
RC1_MIN          | 1094              | 1000               | 值不同        
RC1_TRIM         | 1514              | 1500               | 值不同        
RC2_MAX          | 1933              | 2000               | 值不同        
RC2_MIN          | 1094              | 1000               | 值不同        
RC2_REV          | -1                | 1                  | 值不同        
RC2_TRIM         | 1514              | 1500               | 值不同        
RC3_MAX          | 1927              | 2000               | 值不同        
RC3_MIN          | 1094              | 1000               | 值不同        
RC3_TRIM         | 1094              | 1500               | 值不同        
RC4_MAX          | 1933              | 2000               | 值不同        
RC4_MIN          | 1094              | 1000               | 值不同        
RC4_TRIM         | 1514              | 1500               | 值不同        
RC_CHAN_CNT      | 18                | 0                  | 值不同        
RC_INPUT_PROTO   | 2                 | -1                 | 值不同        
RC_MAP_PITCH     | 2                 | 0                  | 值不同        
RC_MAP_ROLL      | 1                 | 0                  | 值不同        
RC_MAP_THROTTLE  | 3                 | 0                  | 值不同        
RC_MAP_YAW       | 4                 | 0                  | 值不同        
RTL_LAND_DELAY   | -1                | 0                  | 值不同        
RTL_RETURN_ALT   | 35                | 30                 | 值不同        
SENS_BOARD_X_OFF | 1.52042460442     | -5.3738155365      | 值不同        
SENS_BOARD_Y_OFF | -0.497862130404   | 4.01260137558      | 值不同        
CAL_MAG2_PITCH   | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_PRIO    | 75                | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_ROLL    | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_XCOMP   | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_XODIAG  | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_XOFF    | 0.122595123947    | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_XSCALE  | 1                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_YAW     | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_YCOMP   | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_YODIAG  | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_YOFF    | -0.181260406971   | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_YSCALE  | 1                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_ZCOMP   | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_ZODIAG  | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_ZOFF    | -0.00367532344535 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG2_ZSCALE  | 1                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_PITCH   | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_PRIO    | 75                | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_ROLL    | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_XCOMP   | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_XODIAG  | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_XOFF    | -0.111796498299   | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_XSCALE  | 1                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_YAW     | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_YCOMP   | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_YODIAG  | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_YOFF    | 0.226484924555    | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_YSCALE  | 1                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_ZCOMP   | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_ZODIAG  | 0                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_ZOFF    | -0.0342871323228  | <07_37_59(1)中不存在>  | 仅12_10_50存在
CAL_MAG3_ZSCALE  | 1                 | <07_37_59(1)中不存在>  | 仅12_10_50存在
CRDZ_APP_SPD     | 40                | <07_37_59(1)中不存在>  | 仅12_10_50存在
CRDZ_SLOW_RAD    | 5                 | <07_37_59(1)中不存在>  | 仅12_10_50存在

仅07_37_59(1).ulg存在、12_10_50.ulg中不存在的参数
-----------------------------------------------
FW_LND_ANG: 07_37_59(1).ulg=5
MIS_DIST_1WP: 07_37_59(1).ulg=10000
MIS_TKO_LAND_REQ: 07_37_59(1).ulg=0
