time_s,x_m,y_m,z_m
10.101100721003604,57.11480270347628,-71.03055733459507,20.0
10.141450705006719,57.15818004246187,-70.91867174294926,20.0
10.181069184007356,57.2010883369996,-70.80660543483087,20.0
10.222195153008215,57.24352683422319,-70.69436037654857,20.0
10.261348643005476,57.28549478950942,-70.58193853754697,20.0
10.30110384800355,57.32699146649119,-70.46934189037277,20.0
10.341126764004002,57.36801613707038,-70.3565724106396,20.0
10.381682000006549,57.40856808143063,-70.2436320769939,20.0
10.421705619010027,57.4486465880501,-70.13052287107962,20.0
10.46120480800164,57.48825095371376,-70.01724677750386,20.0
10.501064131007297,57.52738048352598,-69.90380578380187,20.0
10.541136056999676,57.56603449092234,-69.79020188040239,20.0
10.58101839000301,57.604212297682096,-69.67643706059233,20.0
10.621074609007337,57.641913233939846,-69.5625133204821,20.0
10.661216897002305,57.67913663819725,-69.44843265897063,20.0
10.701423842998338,57.715881857334814,-69.33419707771012,20.0
10.742982755007688,57.75214824662322,-69.2198085810709,20.0
10.781157849996816,57.78793516973467,-69.1052691761063,20.0
10.821769611997297,57.82324199875399,-68.99058087251784,20.0
10.861272341004224,57.858068114189784,-68.87574568261921,20.0
10.90106497099623,57.892412904985235,-68.7607656213014,20.0
10.941845467998064,57.92627576852871,-68.64564270599766,20.0
10.981947441003285,57.95965611066452,-68.53037895664731,20.0
11.021230687008938,57.992553345703335,-68.41497639566096,20.0
11.061176453004009,58.0249668964323,-68.29943704788467,20.0
11.10103577299742,58.05689619412521,-68.18376294056485,20.0
11.141747362999013,58.08834067855264,-68.06795610331208,20.0
11.18186479000724,58.11929979799162,-67.95201856806577,20.0
11.221724565009936,58.14977300923536,-67.83595236905894,20.0
11.261840859006043,58.17975977760279,-67.71975954278179,20.0
11.30102112700115,58.20925957694795,-67.60344212794635,20.0
11.341609769006027,58.23827188966921,-67.4870021654507,20.0
11.381576847998076,58.26679620671831,-67.37044169834334,20.0
11.421041117995628,58.29483202760936,-67.2537627717869,20.0
11.461392716009868,58.322378860427634,-67.13696743302252,20.0
11.501580227006343,58.34943622183811,-67.02005773133389,20.0
11.54174412600696,58.37600363709395,-66.9030357180115,20.0
11.581334272996173,58.402080640045014,-66.78590344631624,20.0
11.621011652998277,58.4276667731458,-66.66866297144355,20.0
11.661888743998134,58.45276158746358,-66.55131635048772,20.0
11.701528892008355,58.47736464268637,-66.43386564240508,20.0
11.74148497999704,58.50147550713042,-66.3163129079785,20.0
11.779062542002066,58.52275411218681,-66.21042991915063,20.0
11.81727491899801,58.54592865579845,-66.09268901850938,20.0
11.857108794996748,58.568609805611494,-65.97485207778807,20.0
11.897097414999735,58.5907971636639,-65.85692116454621,20.0
11.937243337000837,58.61249034065765,-65.73889834799219,20.0
11.97774668400234,58.6336889559656,-65.62078569894719,20.0
12.017362918995786,58.65439263763819,-65.5025852898083,20.0
12.057210137005313,58.6746010224099,-65.38429919451255,20.0
12.09733356400102,58.69431375570571,-65.26592948850028,20.0
12.137364278998575,58.71353049164716,-65.14747824867912,20.0
12.178474122003536,58.73225089305864,-65.02894755338716,20.0
12.217407479009125,58.75047463147314,-64.91033948235658,20.0
12.257215860008728,58.7682013871381,-64.79165611667706,20.0
12.297466866002651,58.78543084902094,-64.6728995387598,20.0
12.337697274997481,58.802162714814614,-64.55407183230011,20.0
12.378547906002495,58.81839669094282,-64.43517508224154,20.0
12.417153390997555,58.83413249256526,-64.31621137473921,20.0
12.457140907004941,58.849369843582515,-64.19718279712282,20.0
12.497284748009406,58.86410847664099,-64.07809143786041,20.0
12.537707251001848,58.87834813313753,-63.95893938652143,20.0
12.577348713995889,58.892088563224036,-63.83972873374056,20.0
12.617316181000206,58.90532952581174,-63.7204615711804,20.0
12.65744069199718,58.918070788575584,-63.60113999149506,20.0
12.697333260002779,58.930312127958125,-63.481766088293725,20.0
12.737079673999688,58.94205332917357,-63.36234195610337,20.0
12.777225352008827,58.95329418621157,-63.24286969033238,20.0
12.817005655000685,58.964034501840764,-63.123351387233605,20.0
12.857684154005256,58.974274087612194,-63.003789143867934,20.0
12.897464388006483,58.98401276386276,-62.88418505806696,20.0
12.937050553999143,58.993250359718225,-62.76454122839643,20.0
12.97733025799971,59.001986713096336,-62.6448597541197,20.0
13.017268840005272,59.010221670709576,-62.52514273516036,20.0
13.05705981500796,59.01795508806787,-62.40539227206578,20.0
13.097653019009158,59.025186844889504,-62.285610466871184,20.0
13.13695296899823,59.03192128238793,-62.1657996684632,20.0
13.177108069008682,59.03817263674624,-62.04596268806843,20.0
13.217167588998564,59.04395604893185,-61.926102208318184,20.0
13.257469218006008,59.049286195144084,-61.80622071227825,20.0
13.297571475006407,59.054177300055436,-61.686320496826156,20.0
13.337063640996348,59.05864314978033,-61.56640368517391,20.0
13.377164532008464,59.06269710456524,-61.446472238590225,20.0
13.417141074009123,59.06635211119682,-61.32652796737149,20.0
13.457432600000175,59.06962071512483,-61.20657254110679,20.0
13.49798279600509,59.07251507229854,-61.08660749828271,20.0
13.537096227999427,59.07504696071625,-60.96663425526779,20.0
13.577128820004873,59.077227791688,-60.84665411471621,20.0
13.61319574600202,59.07889953007607,-60.73866708204659,20.0
13.653297154000029,59.08030369162177,-60.630676237043694,20.0
13.69326679900405,59.08155928289889,-60.510682840311475,20.0
13.733847395997145,59.08250402558676,-60.39068659144874,20.0
13.773441286000889,59.08314771874179,-60.27068834805171,20.0
13.81347793500754,59.08349985451208,-60.15068889301457,20.0
13.853262318996713,59.08356962751699,-60.03068893983867,20.0
13.893932228005724,59.08336594396461,-59.910689137592954,20.0
13.934767975006253,59.08289743051231,-59.79069007554636,20.0
13.97348004100786,59.082172442874715,-59.67069228749283,20.0
14.013349991000723,59.08119907418484,-59.55069625578965,20.0
14.053382908008643,59.07998516311305,-59.43070241512653,20.0
14.09340517599776,59.07853830174978,-59.310711156043276,20.0
14.13329448600416,59.0768658432569,-59.190722828210944,20.0
14.173320989008062,59.074974909293175,-59.070737743493396,20.0
14.2134238419967,59.07287239721993,-58.950756178802344,20.0
14.253778430997045,59.070564987091245,-58.830778378758566,20.0
14.293756398998084,59.06805914843513,-58.71080455817339,20.0
14.33565456600627,59.06536114683047,-58.59083490436077,20.0
14.373475997999776,59.0624770502853,-58.47086957929164,20.0
14.41388220799854,59.05941273542165,-58.350908721599986,20.0
14.45439579700178,59.05617389347222,-58.23095244845117,20.0
14.490700545007712,59.053114274062914,-58.12299580331358,20.0
14.5270716130035,59.049921651731964,-58.01504300924582,20.0
14.56548930000281,59.046222904231286,-57.89510003432882,20.0
14.60560575700947,59.04236966590805,-57.77516192259708,20.0
14.645797368997592,59.03836681597358,-57.655228710340175,20.0
14.685369190003257,59.0342190795776,-57.5353004209176,20.0
14.72575373899599,59.02993103265713,-57.41537706589918,20.0
14.765346943007899,59.02550710663498,-57.2954586461231,20.0
14.805274073005421,59.020951592972246,-57.17554515267881,20.0
14.84542777700699,59.0162686475791,-57.05563656781842,20.0
14.885873307008296,59.01146229508813,-56.935732865802336,20.0
14.925806287996238,59.00653643299419,-56.81583401368223,20.0
14.965431019998505,59.001494835665135,-56.695939972026984,20.0
15.00528050599678,58.996341158226784,-56.57605069559453,20.0
15.045830443006707,58.99107894032637,-56.45616613395374,20.0
15.085863172003883,58.985711609778015,-56.336286232058654,20.0
15.125468209997052,58.98024248609381,-56.21641093077999,20.0
15.165535680003813,58.9746747839039,-56.096540167395716,20.0
15.205525500001386,58.969018391815894,-55.97667355476758,20.0
15.246223886002554,58.96333418071372,-55.856808256541576,20.0
15.286236448999261,58.95770575271672,-55.73694032921732,20.0
15.325488558009965,58.95221679602995,-55.6170659423483,20.0
15.366467790998286,58.946951012079815,-55.497181557609885,20.0
15.405441295006312,58.94199212226855,-55.37728410413178,20.0
15.446139072999358,58.9374238730972,-55.25737115389659,20.0
15.485475499008317,58.93332593738466,-55.13744123150399,20.0
15.525322786998004,58.92972989470543,-55.017495211843276,20.0
15.566332041009446,58.92663631081714,-54.897535181440844,20.0
15.605842267003027,58.924045239999664,-54.77756324510815,20.0
15.64248574100202,58.92214296269662,-54.669580062633614,20.0
15.681472284995834,58.920506784675624,-54.54959130450649,20.0
15.72132384699944,58.919373227273695,-54.42959674545062,20.0
15.761901015008334,58.91874231038016,-54.309598490882905,20.0
15.801449813996442,58.91861404506509,-54.189598646285454,20.0
15.841686112005846,58.918988433578974,-54.06959931716798,20.0
15.881368307003868,58.91986546935283,-53.94960260903116,20.0
15.92133001399634,58.92124513699824,-53.829610627329934,20.0
15.962756485998398,58.92312741230764,-53.70962547743603,20.0
16.0018729440053,58.92551226225476,-53.58964926460143,20.0
16.04138134200184,58.92839964499517,-53.4696840939212,20.0
16.08151067700237,58.931789509866995,-53.34973207029695,20.0
16.121972073000506,58.93568179739192,-53.22979529839932,20.0
16.161717562004924,58.94007643927609,-53.10987588263135,20.0
16.2017287290073,58.94497335841143,-52.98997592709181,20.0
16.241983195999637,58.950372468876836,-52.87009753553778,20.0
16.281668194002123,58.95627367593988,-52.75024281134803,20.0
16.321522623999044,58.96267687605837,-52.63041385748602,20.0
16.36157410799933,58.96958195688214,-52.510612776463255,20.0
16.40169203899859,58.97698879725505,-52.390841670302,20.0
16.44181280900375,58.98489726721719,-52.271102640498526,20.0
16.481494143998134,58.99330722800701,-52.15139778798655,20.0
16.522277576004853,59.002218532063864,-52.031729213099865,20.0
16.56133334399783,59.01163102303057,-51.912099015535844,20.0
16.60203538100177,59.02154453575612,-51.792509294318435,20.0
