category,parameter,current_value,system_default_in_log,current_setup_default_in_log,changed_from_logged_default,unit,px4_group,short_description,source_status
故障检测控制约束,FD_FAIL_R,80,60,60,yes,deg,Failure Detector,FailureDetector Max Roll,metadata
故障检测控制约束,FD_FAIL_R_TTRI,0.30000001192092896,,,,s,Failure Detector,Roll failure trigger time,metadata
故障检测控制约束,FD_IMB_PROP_THR,30,,,,,Failure Detector,Imbalanced propeller check threshold,metadata
精准降落控制,PLD_BTOUT,5.0,,,,s,Precision Land,Landing Target Timeout,metadata
精准降落控制,PLD_FAPPR_ALT,0.10000000149011612,,,,m,Precision Land,Final approach altitude,metadata
精准降落控制,PLD_HACC_RAD,0.20000000298023224,,,,m,Precision Land,Horizontal acceptance radius,metadata
精准降落控制,PLD_MAX_SRCH,3,,,,,Precision Land,Maximum number of search attempts,metadata
精准降落控制,PLD_SRCH_ALT,10.0,,,,m,Precision Land,Search altitude,metadata
精准降落控制,PLD_SRCH_TOUT,10.0,,,,s,Precision Land,Search timeout,metadata
遥控/手动输入,MAN_ARM_GESTURE,1,,,,,Manual Control,Enable arm/disarm stick gesture,metadata
遥控/手动输入,MAN_KILL_GEST_T,-1.0,,,,s,Manual Control,Trigger time for kill stick gesture,metadata
遥控/手动输入,RC10_DZ,0.0,,,,,Radio Calibration,RC channel 10 dead zone,metadata
遥控/手动输入,RC10_MAX,2000.0,,,,us,Radio Calibration,RC channel 10 maximum,metadata
遥控/手动输入,RC10_MIN,1000.0,,,,us,Radio Calibration,RC channel 10 minimum,metadata
遥控/手动输入,RC10_REV,1.0,,,,,Radio Calibration,RC channel 10 reverse,metadata
遥控/手动输入,RC10_TRIM,1500.0,,,,us,Radio Calibration,RC channel 10 trim,metadata
遥控/手动输入,RC11_DZ,0.0,,,,,Radio Calibration,RC channel 11 dead zone,metadata
遥控/手动输入,RC11_MAX,2000.0,,,,us,Radio Calibration,RC channel 11 maximum,metadata
遥控/手动输入,RC11_MIN,1000.0,,,,us,Radio Calibration,RC channel 11 minimum,metadata
遥控/手动输入,RC11_REV,1.0,,,,,Radio Calibration,RC channel 11 reverse,metadata
遥控/手动输入,RC11_TRIM,1500.0,,,,us,Radio Calibration,RC channel 11 trim,metadata
遥控/手动输入,RC12_DZ,0.0,,,,,Radio Calibration,RC channel 12 dead zone,metadata
遥控/手动输入,RC12_MAX,2000.0,,,,us,Radio Calibration,RC channel 12 maximum,metadata
遥控/手动输入,RC12_MIN,1000.0,,,,us,Radio Calibration,RC channel 12 minimum,metadata
遥控/手动输入,RC12_REV,1.0,,,,,Radio Calibration,RC channel 12 reverse,metadata
遥控/手动输入,RC12_TRIM,1500.0,,,,us,Radio Calibration,RC channel 12 trim,metadata
遥控/手动输入,RC13_DZ,0.0,,,,,Radio Calibration,RC channel 13 dead zone,metadata
遥控/手动输入,RC13_MAX,2000.0,,,,us,Radio Calibration,RC channel 13 maximum,metadata
遥控/手动输入,RC13_MIN,1000.0,,,,us,Radio Calibration,RC channel 13 minimum,metadata
遥控/手动输入,RC13_REV,1.0,,,,,Radio Calibration,RC channel 13 reverse,metadata
遥控/手动输入,RC13_TRIM,1500.0,,,,us,Radio Calibration,RC channel 13 trim,metadata
遥控/手动输入,RC14_DZ,0.0,,,,,Radio Calibration,RC channel 14 dead zone,metadata
遥控/手动输入,RC14_MAX,2000.0,,,,us,Radio Calibration,RC channel 14 maximum,metadata
遥控/手动输入,RC14_MIN,1000.0,,,,us,Radio Calibration,RC channel 14 minimum,metadata
遥控/手动输入,RC14_REV,1.0,,,,,Radio Calibration,RC channel 14 reverse,metadata
遥控/手动输入,RC14_TRIM,1500.0,,,,us,Radio Calibration,RC channel 14 trim,metadata
遥控/手动输入,RC15_DZ,0.0,,,,,Radio Calibration,RC channel 15 dead zone,metadata
遥控/手动输入,RC15_MAX,2000.0,,,,us,Radio Calibration,RC channel 15 maximum,metadata
遥控/手动输入,RC15_MIN,1000.0,,,,us,Radio Calibration,RC channel 15 minimum,metadata
遥控/手动输入,RC15_REV,1.0,,,,,Radio Calibration,RC channel 15 reverse,metadata
遥控/手动输入,RC15_TRIM,1500.0,,,,us,Radio Calibration,RC channel 15 trim,metadata
遥控/手动输入,RC16_DZ,0.0,,,,,Radio Calibration,RC channel 16 dead zone,metadata
遥控/手动输入,RC16_MAX,2000.0,,,,us,Radio Calibration,RC channel 16 maximum,metadata
遥控/手动输入,RC16_MIN,1000.0,,,,us,Radio Calibration,RC channel 16 minimum,metadata
遥控/手动输入,RC16_REV,1.0,,,,,Radio Calibration,RC channel 16 reverse,metadata
遥控/手动输入,RC16_TRIM,1500.0,,,,us,Radio Calibration,RC channel 16 trim,metadata
遥控/手动输入,RC17_DZ,0.0,,,,,Radio Calibration,RC channel 17 dead zone,metadata
遥控/手动输入,RC17_MAX,2000.0,,,,us,Radio Calibration,RC channel 17 maximum,metadata
遥控/手动输入,RC17_MIN,1000.0,,,,us,Radio Calibration,RC channel 17 minimum,metadata
遥控/手动输入,RC17_REV,1.0,,,,,Radio Calibration,RC channel 17 reverse,metadata
遥控/手动输入,RC17_TRIM,1500.0,,,,us,Radio Calibration,RC channel 17 trim,metadata
遥控/手动输入,RC18_DZ,0.0,,,,,Radio Calibration,RC channel 18 dead zone,metadata
遥控/手动输入,RC18_MAX,2000.0,,,,us,Radio Calibration,RC channel 18 maximum,metadata
遥控/手动输入,RC18_MIN,1000.0,,,,us,Radio Calibration,RC channel 18 minimum,metadata
遥控/手动输入,RC18_REV,1.0,,,,,Radio Calibration,RC channel 18 reverse,metadata
遥控/手动输入,RC18_TRIM,1500.0,,,,us,Radio Calibration,RC channel 18 trim,metadata
遥控/手动输入,RC1_DZ,10.0,,,,us,Radio Calibration,RC channel 1 dead zone,metadata
遥控/手动输入,RC1_MAX,1933.0,2000.0,2000.0,yes,us,Radio Calibration,RC channel 1 maximum,metadata
遥控/手动输入,RC1_MIN,1094.0,1000.0,1000.0,yes,us,Radio Calibration,RC channel 1 minimum,metadata
遥控/手动输入,RC1_REV,1.0,,,,,Radio Calibration,RC channel 1 reverse,metadata
遥控/手动输入,RC1_TRIM,1514.0,1500.0,1500.0,yes,us,Radio Calibration,RC channel 1 trim,metadata
遥控/手动输入,RC2_DZ,10.0,,,,us,Radio Calibration,RC channel 2 dead zone,metadata
遥控/手动输入,RC2_MAX,1933.0,2000.0,2000.0,yes,us,Radio Calibration,RC channel 2 maximum,metadata
遥控/手动输入,RC2_MIN,1094.0,1000.0,1000.0,yes,us,Radio Calibration,RC channel 2 minimum,metadata
遥控/手动输入,RC2_REV,-1.0,1.0,1.0,yes,,Radio Calibration,RC channel 2 reverse,metadata
遥控/手动输入,RC2_TRIM,1514.0,1500.0,1500.0,yes,us,Radio Calibration,RC channel 2 trim,metadata
遥控/手动输入,RC3_DZ,10.0,,,,us,Radio Calibration,RC channel 3 dead zone,metadata
遥控/手动输入,RC3_MAX,1927.0,2000.0,2000.0,yes,us,Radio Calibration,RC channel 3 maximum,metadata
遥控/手动输入,RC3_MIN,1094.0,1000.0,1000.0,yes,us,Radio Calibration,RC channel 3 minimum,metadata
遥控/手动输入,RC3_REV,1.0,,,,,Radio Calibration,RC channel 3 reverse,metadata
遥控/手动输入,RC3_TRIM,1094.0,1500.0,1500.0,yes,us,Radio Calibration,RC channel 3 trim,metadata
遥控/手动输入,RC4_DZ,10.0,,,,us,Radio Calibration,RC channel 4 dead zone,metadata
遥控/手动输入,RC4_MAX,1933.0,2000.0,2000.0,yes,us,Radio Calibration,RC channel 4 maximum,metadata
遥控/手动输入,RC4_MIN,1094.0,1000.0,1000.0,yes,us,Radio Calibration,RC channel 4 minimum,metadata
遥控/手动输入,RC4_REV,1.0,,,,,Radio Calibration,RC channel 4 reverse,metadata
遥控/手动输入,RC4_TRIM,1514.0,1500.0,1500.0,yes,us,Radio Calibration,RC channel 4 trim,metadata
遥控/手动输入,RC5_DZ,10.0,,,,,Radio Calibration,RC channel 5 dead zone,metadata
遥控/手动输入,RC5_MAX,2000.0,,,,us,Radio Calibration,RC channel 5 maximum,metadata
遥控/手动输入,RC5_MIN,1000.0,,,,us,Radio Calibration,RC channel 5 minimum,metadata
遥控/手动输入,RC5_REV,1.0,,,,,Radio Calibration,RC channel 5 reverse,metadata
遥控/手动输入,RC5_TRIM,1500.0,,,,us,Radio Calibration,RC channel 5 trim,metadata
遥控/手动输入,RC6_DZ,10.0,,,,,Radio Calibration,RC channel 6 dead zone,metadata
遥控/手动输入,RC6_MAX,2000.0,,,,us,Radio Calibration,RC channel 6 maximum,metadata
遥控/手动输入,RC6_MIN,1000.0,,,,us,Radio Calibration,RC channel 6 minimum,metadata
遥控/手动输入,RC6_REV,1.0,,,,,Radio Calibration,RC channel 6 reverse,metadata
遥控/手动输入,RC6_TRIM,1500.0,,,,us,Radio Calibration,RC channel 6 trim,metadata
遥控/手动输入,RC7_DZ,10.0,,,,,Radio Calibration,RC channel 7 dead zone,metadata
遥控/手动输入,RC7_MAX,2000.0,,,,us,Radio Calibration,RC channel 7 maximum,metadata
遥控/手动输入,RC7_MIN,1000.0,,,,us,Radio Calibration,RC channel 7 minimum,metadata
遥控/手动输入,RC7_REV,1.0,,,,,Radio Calibration,RC channel 7 reverse,metadata
遥控/手动输入,RC7_TRIM,1500.0,,,,us,Radio Calibration,RC channel 7 trim,metadata
遥控/手动输入,RC8_DZ,10.0,,,,,Radio Calibration,RC channel 8 dead zone,metadata
遥控/手动输入,RC8_MAX,2000.0,,,,us,Radio Calibration,RC channel 8 maximum,metadata
遥控/手动输入,RC8_MIN,1000.0,,,,us,Radio Calibration,RC channel 8 minimum,metadata
遥控/手动输入,RC8_REV,1.0,,,,,Radio Calibration,RC channel 8 reverse,metadata
遥控/手动输入,RC8_TRIM,1500.0,,,,us,Radio Calibration,RC channel 8 trim,metadata
遥控/手动输入,RC9_DZ,0.0,,,,,Radio Calibration,RC channel 9 dead zone,metadata
遥控/手动输入,RC9_MAX,2000.0,,,,us,Radio Calibration,RC channel 9 maximum,metadata
遥控/手动输入,RC9_MIN,1000.0,,,,us,Radio Calibration,RC channel 9 minimum,metadata
遥控/手动输入,RC9_REV,1.0,,,,,Radio Calibration,RC channel 9 reverse,metadata
遥控/手动输入,RC9_TRIM,1500.0,,,,us,Radio Calibration,RC channel 9 trim,metadata
遥控/手动输入,RC_ARMSWITCH_TH,0.75,,,,,Radio Switches,Threshold for the arm switch,metadata
遥控/手动输入,RC_CHAN_CNT,18,0,0,yes,,Radio Calibration,RC channel count,metadata
遥控/手动输入,RC_ENG_MOT_TH,0.75,,,,,Radio Switches,Threshold for selecting main motor engage,metadata
遥控/手动输入,RC_FAILS_THR,0,,,,us,Radio Calibration,Failsafe channel PWM threshold,metadata
遥控/手动输入,RC_GEAR_TH,0.75,,,,,Radio Switches,Threshold for the landing gear switch,metadata
遥控/手动输入,RC_INPUT_PROTO,2,-1,-1,yes,,RC Input,RC input protocol,metadata
遥控/手动输入,RC_KILLSWITCH_TH,0.75,,,,,Radio Switches,Threshold for the kill switch,metadata
遥控/手动输入,RC_LOITER_TH,0.75,,,,,Radio Switches,Threshold for selecting loiter mode,metadata
遥控/手动输入,RC_MAP_ARM_SW,0,,,,,Radio Switches,Arm switch channel,metadata
遥控/手动输入,RC_MAP_AUX1,0,,,,,Radio Calibration,AUX1 Passthrough RC channel,metadata
遥控/手动输入,RC_MAP_AUX2,0,,,,,Radio Calibration,AUX2 Passthrough RC channel,metadata
遥控/手动输入,RC_MAP_AUX3,0,,,,,Radio Calibration,AUX3 Passthrough RC channel,metadata
遥控/手动输入,RC_MAP_AUX4,0,,,,,Radio Calibration,AUX4 Passthrough RC channel,metadata
遥控/手动输入,RC_MAP_AUX5,0,,,,,Radio Calibration,AUX5 Passthrough RC channel,metadata
遥控/手动输入,RC_MAP_AUX6,0,,,,,Radio Calibration,AUX6 Passthrough RC channel,metadata
遥控/手动输入,RC_MAP_ENG_MOT,0,,,,,Radio Calibration,RC channel to engage the main motor (for helicopters),metadata
遥控/手动输入,RC_MAP_FAILSAFE,0,,,,,Radio Calibration,Failsafe channel mapping,metadata
遥控/手动输入,RC_MAP_FLAPS,0,,,,,Radio Switches,Flaps channel,metadata
遥控/手动输入,RC_MAP_FLTMODE,0,,,,,Radio Switches,Single channel flight mode selection,metadata
遥控/手动输入,RC_MAP_FLTM_BTN,0,,,,,Radio Switches,Button flight mode selection,metadata
遥控/手动输入,RC_MAP_GEAR_SW,0,,,,,Radio Switches,Landing gear switch channel,metadata
遥控/手动输入,RC_MAP_KILL_SW,0,,,,,Radio Switches,Emergency Kill switch channel,metadata
遥控/手动输入,RC_MAP_LOITER_SW,0,,,,,Radio Switches,Loiter switch channel,metadata
遥控/手动输入,RC_MAP_MODE_SW,0,,,,,Radio Switches,Mode switch channel mapping (deprecated),metadata
遥控/手动输入,RC_MAP_OFFB_SW,0,,,,,Radio Switches,Offboard switch channel,metadata
遥控/手动输入,RC_MAP_PARAM1,0,,,,,Radio Calibration,PARAM1 tuning channel,metadata
遥控/手动输入,RC_MAP_PARAM2,0,,,,,Radio Calibration,PARAM2 tuning channel,metadata
遥控/手动输入,RC_MAP_PARAM3,0,,,,,Radio Calibration,PARAM3 tuning channel,metadata
遥控/手动输入,RC_MAP_PAY_SW,0,,,,,Radio Switches,Payload Power Switch RC channel,metadata
遥控/手动输入,RC_MAP_PITCH,2,0,0,yes,,Radio Calibration,Pitch control channel mapping,metadata
遥控/手动输入,RC_MAP_RETURN_SW,0,,,,,Radio Switches,Return switch channel,metadata
遥控/手动输入,RC_MAP_ROLL,1,0,0,yes,,Radio Calibration,Roll control channel mapping,metadata
遥控/手动输入,RC_MAP_THROTTLE,3,0,0,yes,,Radio Calibration,Throttle control channel mapping,metadata
遥控/手动输入,RC_MAP_TRANS_SW,0,,,,,Radio Switches,VTOL transition switch channel mapping,metadata
遥控/手动输入,RC_MAP_YAW,4,0,0,yes,,Radio Calibration,Yaw control channel mapping,metadata
遥控/手动输入,RC_OFFB_TH,0.75,,,,,Radio Switches,Threshold for selecting offboard mode,metadata
遥控/手动输入,RC_PAYLOAD_MIDTH,0.25,,,,,Radio Switches,Threshold for mid position of payload power switch,metadata
遥控/手动输入,RC_PAYLOAD_TH,0.75,,,,,Radio Switches,Threshold for on position of payload power switch,metadata
遥控/手动输入,RC_PORT_CONFIG,0,,,,,Serial,Serial Configuration for RC Input Driver,metadata
遥控/手动输入,RC_RETURN_TH,0.75,,,,,Radio Switches,Threshold for selecting return to launch mode,metadata
遥控/手动输入,RC_RSSI_PWM_CHAN,0,,,,,Radio Calibration,PWM input channel that provides RSSI,metadata
遥控/手动输入,RC_RSSI_PWM_MAX,2000,,,,,Radio Calibration,Max input value for RSSI reading,metadata
遥控/手动输入,RC_RSSI_PWM_MIN,1000,,,,,Radio Calibration,Min input value for RSSI reading,metadata
遥控/手动输入,RC_TRANS_TH,0.75,,,,,Radio Switches,Threshold for the VTOL transition switch,metadata
降落检测/着陆控制,LNDMC_ALT_GND,2.0,,,,m,Land Detector,Ground effect altitude for multicopters,metadata
降落检测/着陆控制,LNDMC_ROT_MAX,20.0,,,,deg/s,Land Detector,Multicopter max rotational speed,metadata
降落检测/着陆控制,LNDMC_TRIG_TIME,1.0,,,,s,Land Detector,Multicopter land detection trigger time,metadata
降落检测/着陆控制,LNDMC_XY_VEL_MAX,1.5,,,,m/s,Land Detector,Multicopter max horizontal velocity,metadata
降落检测/着陆控制,LNDMC_Z_VEL_MAX,0.25,,,,m/s,Land Detector,Multicopter vertical velocity threshold,metadata
降落检测/着陆控制,LND_FLIGHT_T_HI,2,,,,,Land Detector,Total flight time in microseconds,metadata
降落检测/着陆控制,LND_FLIGHT_T_LO,-1103393143,,,,,Land Detector,Total flight time in microseconds,metadata
