category,parameter,current_value,system_default_in_log,current_setup_default_in_log,changed_from_logged_default,unit,px4_group,short_description,source_status
Commander模式/解锁/安全约束,COM_WIND_WARN,-1.0,,,,m/s,Commander,Wind speed warning threshold,metadata
VTOL控制参数,VT_B_DEC_I,0.10000000149011612,,,,rad s/m,VTOL Attitude Control,Backtransition deceleration setpoint to pitch I gain,metadata
VTOL控制参数,VT_B_DEC_MSS,2.0,,,,m/s^2,VTOL Attitude Control,Approximate deceleration during back transition,metadata
任务/导航控制约束,MIS_COMMAND_TOUT,0.0,,,,s,Mission,Timeout to allow the payload to execute the mission command,metadata
任务/导航控制约束,MIS_LND_ABRT_ALT,30,,,,m,Mission,Landing abort min altitude,metadata
任务/导航控制约束,MIS_MNT_YAW_CTL,0,,,,,Mission,Enable yaw control of the mount. (Only affects multicopters and ROI mission items),metadata
任务/导航控制约束,MIS_TAKEOFF_ALT,2.5,,,,m,Mission,Default take-off altitude,metadata
任务/导航控制约束,MIS_YAW_ERR,12.0,,,,deg,Mission,Max yaw error in degrees needed for waypoint heading acceptance,metadata
任务/导航控制约束,MIS_YAW_TMT,-1.0,,,,s,Mission,Time in seconds we wait on reaching target heading at a waypoint if it is forced,metadata
任务/导航控制约束,NAV_ACC_RAD,2.0,10.0,,yes,m,Mission,Acceptance Radius,metadata
任务/导航控制约束,NAV_DLL_ACT,0,,,,,Commander,Set GCS connection loss failsafe mode,metadata
任务/导航控制约束,NAV_FORCE_VT,1,,,,,Mission,Force VTOL mode takeoff and land,metadata
任务/导航控制约束,NAV_FW_ALTL_RAD,5.0,,,,m,Mission,FW Altitude Acceptance Radius before a landing,metadata
任务/导航控制约束,NAV_FW_ALT_RAD,10.0,,,,m,Mission,FW Altitude Acceptance Radius,metadata
任务/导航控制约束,NAV_LOITER_RAD,80.0,,,,m,Mission,Loiter radius (FW only),metadata
任务/导航控制约束,NAV_MC_ALT_RAD,0.800000011920929,,,,m,Mission,MC Altitude Acceptance Radius,metadata
任务/导航控制约束,NAV_MIN_GND_DIST,-1.0,,,,m,Mission,Minimum height above ground during Mission and RTL,metadata
任务/导航控制约束,NAV_MIN_LTR_ALT,-1.0,,,,m,Mission,Minimum Loiter altitude,metadata
任务/导航控制约束,NAV_RCL_ACT,2,,,,,Commander,Set RC loss failsafe mode,metadata
任务/导航控制约束,NAV_TRAFF_AVOID,1,,,,,Mission,Set traffic avoidance mode,metadata
任务/导航控制约束,NAV_TRAFF_A_HOR,500.0,,,,m,Mission,Set NAV TRAFFIC AVOID horizontal distance,metadata
任务/导航控制约束,NAV_TRAFF_A_VER,500.0,,,,m,Mission,Set NAV TRAFFIC AVOID vertical distance,metadata
任务/导航控制约束,NAV_TRAFF_COLL_T,60,,,,s,Mission,Estimated time until collision,metadata
固定翼控制参数,FW_AIRSPD_MAX,20.0,,,,m/s,FW Performance,Maximum Airspeed (CAS),metadata
固定翼控制参数,FW_AIRSPD_TRIM,15.0,,,,m/s,FW Performance,Trim (Cruise) Airspeed,metadata
固定翼控制参数,FW_PSP_OFF,0.0,,,,deg,FW Attitude Control,Pitch setpoint offset (pitch at level flight),metadata
固定翼控制参数,FW_T_CLMB_R_SP,3.0,,,,m/s,FW General,Default target climbrate,metadata
固定翼控制参数,FW_T_SINK_R_SP,2.0,,,,m/s,FW General,Default target sinkrate,metadata
地理围栏控制约束,GF_ACTION,2,,,,,Geofence,Geofence violation action,metadata
地理围栏控制约束,GF_MAX_HOR_DIST,0.0,,,,m,Geofence,Max horizontal distance from Home,metadata
地理围栏控制约束,GF_MAX_VER_DIST,0.0,,,,m,Geofence,Max vertical distance from Home,metadata
地理围栏控制约束,GF_PREDICT,0,,,,,Geofence,[EXPERIMENTAL] Use Pre-emptive geofence triggering,metadata
地理围栏控制约束,GF_SOURCE,0,,,,,Geofence,Geofence source,metadata
多旋翼 Acro 控制,MC_ACRO_EXPO,0.0,,,,,Multicopter Acro Mode,"Acro mode roll, pitch expo factor",metadata
多旋翼 Acro 控制,MC_ACRO_EXPO_Y,0.0,,,,,Multicopter Acro Mode,Acro mode yaw expo factor,metadata
多旋翼 Acro 控制,MC_ACRO_P_MAX,100.0,,,,deg/s,Multicopter Acro Mode,Acro mode maximum pitch rate,metadata
多旋翼 Acro 控制,MC_ACRO_R_MAX,100.0,,,,deg/s,Multicopter Acro Mode,Acro mode maximum roll rate,metadata
多旋翼 Acro 控制,MC_ACRO_SUPEXPO,0.0,,,,,Multicopter Acro Mode,"Acro mode roll, pitch super expo factor",metadata
多旋翼 Acro 控制,MC_ACRO_SUPEXPOY,0.0,,,,,Multicopter Acro Mode,Acro mode yaw super expo factor,metadata
多旋翼 Acro 控制,MC_ACRO_Y_MAX,100.0,,,,deg/s,Multicopter Acro Mode,Acro mode maximum yaw rate,metadata
多旋翼位置/速度/轨迹控制,MPC_ACC_DECOUPLE,1,,,,,Multicopter Position Control,Acceleration to tilt coupling,metadata
多旋翼位置/速度/轨迹控制,MPC_ACC_DOWN_MAX,3.0,,,,m/s^2,Multicopter Position Control,Maximum downwards acceleration in climb rate controlled modes,metadata
多旋翼位置/速度/轨迹控制,MPC_ACC_HOR,6.0,3.0,3.0,yes,m/s^2,Multicopter Position Control,Acceleration for autonomous and for manual modes,metadata
多旋翼位置/速度/轨迹控制,MPC_ACC_HOR_MAX,10.0,2.0,2.0,yes,m/s^2,Multicopter Position Control,Maximum horizontal acceleration,metadata
多旋翼位置/速度/轨迹控制,MPC_ACC_UP_MAX,7.0,4.0,4.0,yes,m/s^2,Multicopter Position Control,Maximum upwards acceleration in climb rate controlled modes,metadata
多旋翼位置/速度/轨迹控制,MPC_ALT_MODE,2,,,,,Multicopter Position Control,Altitude reference mode,metadata
多旋翼位置/速度/轨迹控制,MPC_HOLD_DZ,0.10000000149011612,,,,,Multicopter Position Control,Deadzone for sticks in manual piloted modes,metadata
多旋翼位置/速度/轨迹控制,MPC_HOLD_MAX_XY,0.800000011920929,,,,m/s,Multicopter Position Control,Maximum horizontal velocity for which position hold is enabled (use 0 to disable check),metadata
多旋翼位置/速度/轨迹控制,MPC_HOLD_MAX_Z,0.6000000238418579,,,,m/s,Multicopter Position Control,Maximum vertical velocity for which position hold is enabled (use 0 to disable check),metadata
